Date,Type,Link
2025-03-30 15:54:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7307413292107358208
2025-03-30 15:54:08,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7309625238068117504
2025-03-30 15:49:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7308342515605090304
2025-03-29 10:23:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7188543992647622658
2025-03-27 05:13:26,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7310799342292901888
2025-03-26 17:43:23,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7310707485055606784
2025-03-26 15:56:05,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7310687498089775105
2025-03-25 19:48:56,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7310322217366519810
2025-03-25 19:06:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7310301506107285505
2025-03-23 14:08:24,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7309529615029387264
2025-03-22 13:30:16,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7304168417895354368
2025-03-21 05:26:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7308537166572204034
2025-03-19 21:36:43,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7308137480673738752
2025-03-19 20:50:14,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7308026999837503488
2025-03-19 11:38:51,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7307878955632488448
2025-03-16 17:26:52,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7306239836800061441?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7306239836800061441%2C7306242118618914816%29
2025-03-15 16:55:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7302794983789486083?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7302794983789486083%2C7302945979798867972%29
2025-03-14 15:21:38,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7302707708682555393
2025-03-10 19:27:45,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7304935618164240385
2025-03-07 20:35:04,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7303867428436889603
2025-03-07 05:45:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7301519073236930560
2025-03-04 06:05:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7302560213780324352
2025-03-02 13:32:11,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7301363263324217344
2025-02-26 11:20:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7300440416108085249
2025-02-13 11:10:22,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7295754888553111554
2025-02-13 09:14:21,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7295717401612972032
2025-02-01 21:35:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7291047418479992832
2025-01-30 06:45:34,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7290609909425954816
2025-01-16 19:37:08,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7285618493570306048
2025-01-15 19:54:36,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7285233766602608640
2025-01-15 06:36:32,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7284641898437251073
2024-12-19 10:20:56,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7275430861993357312
2024-12-19 08:23:08,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7275421679281917953
2024-12-17 13:49:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7268947185851912194
2024-12-16 16:30:11,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7274442950023991296
2024-12-14 20:41:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7273782823977635841
2024-12-12 19:39:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7273041549129568256
2024-12-10 15:51:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7272162444649627648
2024-12-10 13:07:32,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7272177585608876033
2024-12-09 12:59:53,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7271870362793955328
2024-12-09 12:33:11,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7271846291331039232
2024-12-06 06:07:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7222136151678025729
2024-12-05 19:29:01,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7270485245273980930
2024-12-05 13:10:08,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7270320792649801728
2024-12-03 21:18:30,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7269663832795488257
2024-12-03 21:04:55,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7269679075802185728
2024-12-03 18:33:33,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7269752254654533632
2024-12-03 13:19:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7269664672893579266
2024-11-19 15:29:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7264647186666192896
2024-11-17 13:26:19,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7257753980858998784
2024-11-17 11:39:50,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7257435740886732800
2024-11-13 22:35:52,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7262572224514052097
2024-11-12 12:54:31,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7262034305135075329
2024-11-10 05:48:43,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7260699696334053376
2024-11-09 15:01:05,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7260956062571266048
2024-11-05 07:54:24,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7259315790741454849
2024-11-04 08:42:16,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7259112201175662593
2024-11-01 19:58:43,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7254406205551378432
2024-10-30 19:00:39,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7256542838828490752
2024-10-30 18:59:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7257453730189438978
2024-10-30 18:39:53,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7257456275888689154
2024-10-30 09:58:15,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7257316334500241408
2024-10-30 09:47:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7257315913442492416
2024-10-30 05:49:54,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7257038187557011458
2024-10-28 08:04:24,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7256408476875177984
2024-10-26 06:19:38,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7255250513946890240
2024-10-25 17:22:10,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7255625416550273026
2024-10-23 13:53:56,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7254832077081116672
2024-10-21 08:41:41,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7254045343120588801
2024-10-18 17:04:17,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7252580659251036160
2024-10-16 00:06:55,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7251918969492676608
2024-10-11 18:17:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7250520593341550593
2024-10-09 20:43:31,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7249878592799592448
2024-10-09 17:42:32,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7249824228139560960
2024-10-07 21:00:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7248959063395356672
2024-10-02 20:55:21,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7247335352661594112
2024-10-02 09:10:45,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7247170270552088576
2024-09-30 20:56:23,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7246590748563828736
2024-09-28 17:26:10,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7245833670555537408
2024-09-25 18:14:07,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7244653600063320064
2024-09-18 19:11:43,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7242208535021838337
2024-09-15 15:38:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7241095555865550850
2024-09-12 16:46:52,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7240032837414903808
2024-08-28 17:10:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7234589004841529344
2024-08-25 16:43:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7233498018384117761
2024-08-21 12:23:39,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7231996814713880576
2024-08-07 14:10:21,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7226663388385275904
2024-08-04 05:19:13,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A715247-7221488296944644096
2024-08-03 16:41:08,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7225533790280896512
2024-08-02 10:18:53,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7225072829187203072
2024-07-29 10:33:45,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7223631831399600128
2024-07-26 10:11:58,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7222524908113674240
2024-07-20 05:43:30,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7217630134126678016
2024-07-12 17:18:04,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7217566696759279617
2024-07-10 08:06:54,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7216704086631448576
2024-07-09 16:39:24,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7216471221062819840
2024-07-07 15:51:51,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7215743441756971009
2024-07-06 08:35:45,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7208454857664434176
2024-07-02 04:53:36,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7213659389893738496
2024-07-02 03:56:37,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7213665468828512257
2024-06-29 07:56:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7211662822454300673
2024-06-29 07:22:45,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7212075175511531520
2024-06-28 12:28:56,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7212424452247023616
2024-06-27 11:48:35,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7212032550737764352
2024-06-24 08:24:19,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7210471647730950144
2024-06-23 14:15:32,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7206274521362837506
2024-06-19 19:58:40,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7209114770619224064
2024-06-19 11:57:33,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7209137372276412416
2024-06-17 17:58:07,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7208355202196779009
